,id,seq,time,score_omiss,score_commiss,label
0,0,0,3.0632317,0.62894666,-0.62894666,0.0
1,0,0,7.588165,0.8848454,-0.8848454,0.0
2,0,0,7.6052194,0.011414144,-0.011414144,0.0
3,0,0,7.9684362,0.2540205,-0.2540205,0.0
4,0,0,9.827731,1.3020246,-1.3020246,0.0
5,0,0,10.835263,0.701074,-0.701074,0.0
6,0,0,11.196816,0.25374067,-0.25374067,0.0
7,0,0,12.44835,0.8767345,-0.8767345,0.0
8,0,0,13.410561,0.6698294,-0.6698294,1.0
9,0,0,14.432984,0.7071222,-0.7071222,0.0
10,0,0,14.786916,0.24596244,-0.24596244,0.0
11,0,0,16.002785,0.84088516,-0.84088516,0.0
12,0,0,16.504444,0.3466019,-0.3466019,1.0
13,0,0,17.440723,0.6457364,-0.6457364,0.0
14,0,0,18.677824,0.8422889,-0.8422889,0.0
15,0,0,19.052414,0.2554226,-0.2554226,0.0
16,0,0,20.473793,0.9597819,-0.9597819,0.0
17,0,0,22.571625,1.3715473,-1.3715473,0.0
18,0,0,23.461298,0.57421935,-0.57421935,0.0
19,0,0,24.079012,0.38772008,-0.38772008,1.0
20,0,0,27.752155,2.1837585,-2.1837585,0.0
21,0,0,31.137316,1.8987241,-1.8987241,0.0
22,0,0,32.025337,0.51278603,-0.51278603,0.0
23,0,0,36.03591,2.253217,-2.253217,0.0
24,0,0,37.805717,0.9869107,-0.9869107,0.0
25,0,0,38.214527,0.23495378,-0.23495378,0.0
26,0,0,38.404152,0.11304424,-0.11304424,0.0
27,0,0,39.989487,0.9456876,-0.9456876,1.0
28,0,0,40.023705,0.02075925,-0.02075925,0.0
29,0,0,41.49426,0.8936304,-0.8936304,0.0
30,0,0,42.392506,0.54368037,-0.54368037,0.0
31,0,0,42.82249,0.26361847,-0.26361847,0.0
32,0,0,43.743294,0.5670866,-0.5670866,0.0
33,0,0,46.16053,1.4489859,-1.4489859,0.0
34,0,0,46.678577,0.31029436,-0.31029436,0.0
35,0,0,48.427467,1.0404403,-1.0404403,0.0
36,0,0,50.127384,0.99530447,-0.99530447,0.0
37,0,0,51.13175,0.5884936,-0.5884936,1.0
38,0,0,51.20476,0.043889392,-0.043889392,0.0
39,0,0,53.93305,1.6098744,-1.6098744,0.0
40,0,0,53.933975,0.0005494545,-0.0005494545,0.0
41,0,0,54.38824,0.2769251,-0.2769251,0.0
42,0,0,56.026123,0.98835975,-0.98835975,0.0
43,0,0,56.454247,0.2591861,-0.2591861,0.0
44,0,0,57.875008,0.8568426,-0.8568426,0.0
45,0,0,58.648346,0.28767994,-0.28767994,0.0
46,0,0,59.74852,0.19983698,-0.19983698,0.0
47,0,0,64.93162,0.77685994,-0.77685994,0.0
48,0,0,66.995186,0.27623594,-0.27623594,0.0
49,0,0,71.58987,0.5785167,-0.5785167,0.0
50,0,0,72.13329,0.066857845,-0.066857845,0.0
51,0,0,76.822845,0.570161,-0.570161,0.0
52,0,0,80.39059,0.42837518,-0.42837518,0.0
53,0,0,84.00604,0.50483966,-0.50483966,0.0
54,0,0,87.41132,2.164945,-2.164945,0.0
55,0,0,88.02035,0.38586006,-0.38586006,0.0
56,0,0,90.12572,1.3438512,-1.3438512,1.0
57,0,0,90.14968,0.015546824,-0.015546824,0.0
58,0,0,91.47923,0.8742508,-0.8742508,0.0
59,0,0,91.96793,0.3241803,-0.3241803,0.0
60,0,0,92.39844,0.2900687,-0.2900687,0.0
61,0,0,92.93625,0.3668387,-0.3668387,0.0
62,0,0,98.25742,3.3877022,-3.3877022,0.0
63,0,0,99.27669,0.6362065,-0.6362065,0.0
0,0,1,5.332053,1.0712045,-1.0712045,0.0
